_id,Manufacturer Type (Type de fabricant),Manufacturer Name (Nom du fabricant),Manufacturer's Brand (Marque du fabricant)
92,Beer Manufacturer,Molson Breweries,Rickards Original White
93,Beer Manufacturer,Molson Breweries,Rickards Pale Ale
94,Beer Manufacturer,Molson Breweries,Rickards Red
95,Beer Manufacturer,Molson Breweries,Rickards Red & White
96,Beer Manufacturer,Molson Breweries,Rickards Taster Pack
97,Beer Manufacturer,Molson Breweries,Stock Ale
98,Beer Manufacturer,Molson Breweries,XXX
99,Beer Manufacturer,Moosehead Breweries Limited,Cold Filtered Light
100,Beer Manufacturer,Moosehead Breweries Limited,Gritstone Ale
101,Beer Manufacturer,Moosehead Breweries Limited,Honey Brown Ale
102,Beer Manufacturer,Moosehead Breweries Limited,James Ready
103,Beer Manufacturer,Moosehead Breweries Limited,James Ready Light
104,Beer Manufacturer,Moosehead Breweries Limited,James Ready Original Ale
105,Beer Manufacturer,Moosehead Breweries Limited,Millstone Light
106,Beer Manufacturer,Moosehead Breweries Limited,Millstone Trapper
107,Beer Manufacturer,Moosehead Breweries Limited,Moosehead Cracked Canoe
108,Beer Manufacturer,Moosehead Breweries Limited,Moosehead Lager
109,Beer Manufacturer,Moosehead Breweries Limited,Moosehead Light
110,Beer Manufacturer,Moosehead Breweries Limited,Moosehead Light Lime
111,Beer Manufacturer,Moosehead Breweries Limited,Moosehead Pale Ale
112,Beer Manufacturer,Moosehead Breweries Limited,Niagara Pale Ale
113,Beer Manufacturer,Northam Management Ltd. o/a Northam Beverages,
114,Beer Manufacturer,Phillips Brewing Company Ltd. o/a Phillips Brewing & Malting Co.,
115,Beer Manufacturer,Sleeman Breweries Ltd.,Maclays
116,Beer Manufacturer,Sleeman Breweries Ltd.,Okanagan Spring Pale Ale
117,Beer Manufacturer,Sleeman Breweries Ltd.,Old Milwaukee
118,Beer Manufacturer,Sleeman Breweries Ltd.,Old Milwaukee Dry
119,Beer Manufacturer,Sleeman Breweries Ltd.,Old Milwaukee Light
120,Beer Manufacturer,Sleeman Breweries Ltd.,Pabst Blue Ribbon
